TableType,TableSize,HashFunction,DataSize,InsertionTime(ns),InsertionCollisions,Search1Time(ns),Search1Comparisons,Search2Time(ns),Search2Comparisons,Search3Time(ns),Search3Comparisons,Search4Time(ns),Search4Comparisons,Search5Time(ns),Search5Comparisons,AvgSearchTime(ns),AvgSearchComparisons
Chaining,10000,Multiplication,1000000,59378300,990000,26100,23,13200,24,20200,76,2600,11,15800,68,15580,00,40,40
Chaining,10000,Multiplication,5000000,379027800,4990000,32300,151,11100,71,11400,81,4500,28,29000,331,17660,00,132,40
Chaining,10000,Multiplication,20000000,1635079300,19990000,193600,1731,273000,1501,125100,833,91700,700,110200,927,158720,00,1138,40
Chaining,10000,Folding,1000000,45888900,997084,26100,154,24400,211,55900,464,6700,61,8000,66,24220,00,191,20
Chaining,10000,Folding,5000000,186942400,4997035,151700,1013,76900,593,68000,555,23500,193,291900,2281,122400,00,927,00
Chaining,10000,Folding,20000000,760395700,19997020,1623800,12677,1551800,10911,996400,4388,699400,4711,842100,6152,1142700,00,7767,80
Chaining,100000,Division,1000000,140250400,900006,9600,6,1200,3,3800,9,800,2,3300,17,3740,00,7,40
Chaining,100000,Division,5000000,578082000,4900000,16800,22,2200,9,2200,11,1400,4,7800,41,6080,00,17,40
Chaining,100000,Division,20000000,2501088100,19900000,42200,160,28500,153,12400,72,11000,67,16200,97,22060,00,109,80
Chaining,100000,Multiplication,1000000,122137100,900007,7600,2,1000,3,2000,9,800,2,2300,11,2740,00,5,40
Chaining,100000,Multiplication,5000000,625221800,4900000,16900,12,2500,6,2000,8,1300,6,7900,35,6120,00,13,40
Chaining,100000,Multiplication,20000000,2964399000,19900000,48700,207,20200,143,22400,78,22800,67,29500,98,28720,00,118,60
Chaining,100000,Folding,1000000,49334700,997084,26300,154,23700,211,56700,464,7000,61,8400,66,24420,00,191,20
Chaining,100000,Folding,5000000,307594200,4997035,132100,1013,62300,593,58500,555,17200,193,186100,2281,91240,00,927,00
Chaining,100000,Folding,20000000,694842900,19997020,1856700,12677,1321700,10911,566200,4388,543600,4711,674300,6152,992500,00,7767,80
